country,year,indicator,value,source
Bosnia and Herzegovina,2013,Covid Period,0,Manual
Bosnia and Herzegovina,2014,Covid Period,0,Manual
Bosnia and Herzegovina,2015,Covid Period,0,Manual
Bosnia and Herzegovina,2016,Covid Period,0,Manual
Bosnia and Herzegovina,2017,Covid Period,0,Manual
Bosnia and Herzegovina,2018,Covid Period,0,Manual
Bosnia and Herzegovina,2019,Covid Period,1,Manual
Bosnia and Herzegovina,2020,Covid Period,1,Manual
Bosnia and Herzegovina,2021,Covid Period,1,Manual
Bosnia and Herzegovina,2022,Covid Period,1,Manual
Bosnia and Herzegovina,2023,Covid Period,1,Manual
Bosnia and Herzegovina,2024,Covid Period,0,Manual
Bosnia and Herzegovina,2025,Covid Period,0,Manual
Cyprus,2010,Covid Period,0,Manual
Cyprus,2011,Covid Period,0,Manual
Cyprus,2012,Covid Period,0,Manual
Cyprus,2013,Covid Period,0,Manual
Cyprus,2014,Covid Period,0,Manual
Cyprus,2015,Covid Period,0,Manual
Cyprus,2016,Covid Period,0,Manual
Cyprus,2017,Covid Period,0,Manual
Cyprus,2018,Covid Period,0,Manual
Cyprus,2019,Covid Period,1,Manual
Cyprus,2020,Covid Period,1,Manual
Cyprus,2021,Covid Period,1,Manual
Cyprus,2022,Covid Period,1,Manual
Cyprus,2023,Covid Period,1,Manual
Cyprus,2024,Covid Period,0,Manual
Cyprus,2025,Covid Period,0,Manual
